aah|00867440
abacinate|02172822
abandon|02232813,02232523,02080923,00614907,00615748
abase|01803805
abash|01796126
abate|00246175,00245945
abbreviate|00244786,00244635
abdicate|02384340
abduce|01017875
abduct|01473673,01452020
aberrate|02668154,02667847
abet|02554908
abhor|01778347
abide|02643286,00670017
abide_by|02547977,02462665
abjure|00800379
ablactate|01189491
ablate|00276265,00177588
abnegate|02217856,01118693,00760087
abolish|02432181
abominate|01778347
abort|00354493,00059834,00059670
abound|02721154,02721470
abound_in|02721798
about-face|01913035,00690810
abrade|01256577,01254215
abrase|01256577
abreact|01819438
abridge|00244786,00237729
abrogate|02484173
abscise|01257919,01257786
abscond|02077642
abseil|01927051
absent|00422488
absolve|00905665,00904187
absorb|01542421,00603650,02221342,01541851,00396604,02771422,00602438,01473153,00601765
absquatulate|02077642
abstain|02468849,01198570
abstract|00694095,02281711,00736610,01010315
abuse|02522260,00203575,00846978,00203918
abut|01469607
aby|02526175
abye|02526175
accede|00879879,02386539,00805801
accelerate|00439133,00440298
accent|01015376,00985365
accentuate|01015376,00985365
accept|00688348,02240906,00799359,00721155,02241406,02306786,00670723,02747421,02215404,02214718,00720413
access|02253616,02011431
accession|01001613
acclaim|00863389,00863593
acclimate|00394379
acclimatise|00394379
acclimatize|00394379
accommodate|02708690,00300361,01186986,02738673,02657519,00887446,00483824
accompany|02722040,02029396,01732234,02722642
accomplish|01644397,02531751
accord|02705946,02260076
accost|00992687,00783699
account|02613467,02270039,00967067,00869308
account_for|02641114,00941652
accouter|02347012
accoutre|02347012
accredit|02480958,02481195,00729753
accrete|00397231,00159176
accrue|00155677,02234838
acculturate|00159688
accumulate|02309962,00158612
accurse|00866574
accuse|00844668,00845147
accustom|00274244
ace|02528247,01115792,01087541,01080152
acerbate|01777456,00271239
acetify|02201136,00265761
acetylate|00525379,00525163
acetylise|00525379,00525163
acetylize|00525379,00525163
ache|02125976,01809651,02126629
achieve|02531751
achromatise|00525610
achromatize|00525610
acid-wash|01540059
acidify|02201136,00265761
acidulate|02201136
acknowledge|00818972,00894219,01060995,00893988,00742454,00594278
acquaint|00902866,00875857,00834439
acquiesce|00805801
acquire|02215637,00525762,00094214,02701220,02293158,00599310,00546637
acquit|00905999,02523827
act|02372362,00010428,01723161,01098310,00013608,02750852,02531113,02424173,01725433,01723780
act_as|02677402,00013608
act_involuntarily|00010234
act_on|02381520,02381722
act_out|01726522,01726324
act_reflexively|00010234
act_superior|02599707
act_up|02523321,02126987
act_upon|02542223
action|02588127,01644397
activate|01647199,00191014,00191717,00191331,00191218
actualise|01648288,00989902
actualize|01648288,00989902
actuate|01647199,01653541
acuminate|00393929
ad-lib|01732719
adapt|00300361,00150107
add|00182551,01029183,02329474,00642490,00951320,02751047
add_on|00183902,01331387
add_to|00157155
add_together|00951320,00642490
add_up|02633444,00951320,02651091,02625692
addict|01167606
addle|00622204,00211073
address|00899077,00991233,00992844,01153447,01163215,02607453,02253826,01035399,00992687,00465600
adduce|01017875
adduct|01451829
adhere|02724053,00487493,01223449,02644929,02644714,01359453
adjoin|01469607,01208316,00183528
adjourn|00364950,02433334
adjudge|00824028
adjudicate|02506927,00700621
adjure|00761702,00757376
adjust|00296959,00465234,00150107,00298848,00701100
admeasure|02300043
administer|02436818,02314601,02299397,00080825,02609574
administrate|02436818
admire|01831800,02169125
admit|00818972,02508185,02454712,02241406,02751361,02747557,02738673,02677068
admix|00397609
admonish|00872241,00872857,00825727
adolesce|00253596
adopt|02351891,02351720,02386868,00525762,00414120,01705170,00603217
adore|01781734
adorn|01679858,02754802,02391817
adsorb|01543020
adulate|00882039
adulterate|00488684
adumbrate|01008466,00929682
advance|01996535,00877337,00498142,02560630,01997958,01113439,00249545,00559448,02402779,02288794,01998320,00158030
advantage|02518934
advect|02106933
adventure|02550045,02550969
advert|02174871,01028737,01026199
advertise|00977934,00978685
advertize|00978685,00977934
advise|00874568,00875364,00876925
advocate|00876672,00829391
aerate|02117374,00191331,00185610
aerify|00443222
aerosolise|01380605,01380423
aerosolize|01380423,01380605
aestivate|00016176
affect|00137133,00019441,02682907,00839722,01771801
affiance|00888123
affiliate|02595401,02440158
affirm|00667804,01013058,01013752
affix|01359073,01331387,01300869
afflict|01801741,00260813
afford|01195161,02344167,02750326,02363033
afforest|01570669
affranchise|02482558
affright|01783082
affront|00850100
age|00249398,00248912,00250565
agenise|00518445
agenize|00518445
agglomerate|01487340
agglutinate|01224580,01224248
aggrade|01310431
aggrandise|00958437
aggrandize|00958437
aggravate|00208618,01824839
aggregate|02633636,01387824
aggress|01120867
aggrieve|02519545,01801593
aggroup|01092289
agitate|02591135,01766380,02595732,01897981,01893603,01422127
agnise|00730579
agnize|00730579
agonise|01798534,01798374
agonize|01798534,01798374
agree|00807038,00766267,02663315,02705946,02747668,02296096,01037402
aid|02553283,00081834
ail|00078418,00070587
aim|01153576,00710809,01028984,00714920,01153025,00957504,00707283
air|02117374,00975760,00975088,00956640,00489965,00489706
air-condition|02336571,02336322
air-cool|02336322
air-drop|01492516
air-freight|01955018
air-ship|01955018
air-slake|00215220
air_out|02117374,00489706
airbrush|01366023
airfreight|01955018
airlift|01454668
airmail|01033999
airt|01957193
alarm|01786469,00874096
alchemise|00139406
alchemize|00139406
alcoholise|00139728,00139549
alcoholize|01179031,00139728,00139549
alert|00874096
alibi|00895262
alien|02225792
alienate|01827478,02225792,01827830
alight|01982714,01982590
align|00465234,02664945,00735655,00466966
aliment|01206811
aline|00465234
alkalify|00265980
alkalinise|00134706,00134545
alkalinize|00134706,00134545
alkalise|00265980
alkalize|00265980
allay|01819152,01206641
allege|01018011
allegorise|00625935,00135093
allegorize|00625935,00135093
alleviate|00063866,00519475
alligator|00338510
alliterate|01706013
allocate|02238869
allot|02233480,02260076,02299397
allow|02427979,00803980,02260270,00726112,02727313,00725507,02751361,02428446,02324649,00804608
allow_for|02727313
allow_in|02508185
allowance|02260629
alloy|00494453,00397786
allude|01028737
allure|00795447
ally|02435038
ally_with|02439584
alphabetise|00280009
alphabetize|00280009,02335963
alter|00126072,00122978,01671027,00201771,00060248
altercate|00777201
alternate|00121314,02398868,00606325,00121486,00121022
aluminise|01340795
aluminize|01340795
amalgamate|01464634
amass|00158612,02309962
amaze|00726794,00624056
ambition|01830002
amble|01922176
ambulate|01915691
ambuscade|01140630
ambush|01140630,01144629
ameliorate|00206293,00205454
amend|00998373,00206293,00200276
amerce|02505914,02504636
americanise|00411331,00410568
americanize|00411331,00410568
ammoniate|00187292
ammonify|00498300
amnesty|00907630
amortise|02357259
amortize|02357259
amount|02671069,02651091,02633444
amplify|00435030,00841513,00265272,00264790
amputate|01257256
amuse|02498011,00861422
anaesthetise|00021058
anaesthetize|00021058
anagram|00627155
anagrammatise|00627155
anagrammatize|00627155
analogise|00654954
analogize|00654954
analyse|00646245,00738221,00645135,00644859
analyze|00646245,00645135,00738221,00644859
anastomose|01294969,01294772
anathematise|00866574
anathematize|00866574
anathemise|00867622,00866574
anathemize|00867622,00866574
anatomise|01553376
anatomize|01553376,00646894
anchor|01307604,01307376
ancylose|00096150,00096018
anele|00085379
anesthetise|00021058
anesthetize|00021058
anger|01789790,01790925
angle|02048815,02042202,01322006,01144038,00682404
angle-park|01938590
anglicise|00301098
anglicize|00301098
anguish|01798980,01796596
angulate|00574534
animadvert|01029677,00828819
animalise|01684651,00113860,00113661
animalize|01684651,00113860,00113661
animate|01816687,00549075,00193180,00024272
animise|00549075
animize|00549075
ankylose|00096150,00096018
anneal|00303837
annex|02220137,01331823
annihilate|00471632
annotate|01708812,00963361
announce|00976399,00967903,00977459,00976205
annoy|01791774
